sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
tree fish phone book apple,1,0,1,0,0,0,1,0,1,1
book tree book car fish,0,0,2,1,0,0,1,0,0,1
car apple dog bird dog,1,1,0,1,0,2,0,0,0,0
apple bird cat tree apple,2,1,0,0,1,0,0,0,0,1
phone bird dog fish apple fish,1,1,0,0,0,1,2,0,1,0
bird bird bird fish,0,3,0,0,0,0,1,0,0,0
fish cat fish cat,0,0,0,0,2,0,2,0,0,0
fish fish bird book fish tree,0,1,1,0,0,0,3,0,0,1
book phone apple dog,1,0,1,0,0,1,0,0,1,0
car car bird,0,1,0,2,0,0,0,0,0,0
house phone house tree cat dog,0,0,0,0,1,1,0,2,1,1
cat book bird apple,1,1,1,0,1,0,0,0,0,0
phone fish apple bird tree,1,1,0,0,0,0,1,0,1,1
tree dog apple,1,0,0,0,0,1,0,0,0,1
tree book dog,0,0,1,0,0,1,0,0,0,1
tree house cat house apple,1,0,0,0,1,0,0,2,0,1
fish cat cat fish,0,0,0,0,2,0,2,0,0,0
car bird house,0,1,0,1,0,0,0,1,0,0
fish fish book book phone bird,0,1,2,0,0,0,2,0,1,0
apple house book house,1,0,1,0,0,0,0,2,0,0
dog bird bird car dog bird,0,3,0,1,0,2,0,0,0,0
dog cat apple cat,1,0,0,0,2,1,0,0,0,0
car car book,0,0,1,2,0,0,0,0,0,0
dog house fish fish fish book,0,0,1,0,0,1,3,1,0,0
fish tree bird fish bird,0,2,0,0,0,0,2,0,0,1
cat book dog book,0,0,2,0,1,1,0,0,0,0
phone phone book apple fish,1,0,1,0,0,0,1,0,2,0
phone cat tree phone car,0,0,0,1,1,0,0,0,2,1
cat tree dog,0,0,0,0,1,1,0,0,0,1
car book car,0,0,1,2,0,0,0,0,0,0
house phone tree book book house,0,0,2,0,0,0,0,2,1,1
book dog cat car bird tree,0,1,1,1,1,1,0,0,0,1
book car dog,0,0,1,1,0,1,0,0,0,0
dog house book book,0,0,2,0,0,1,0,1,0,0
dog fish dog,0,0,0,0,0,2,1,0,0,0
fish dog cat,0,0,0,0,1,1,1,0,0,0
car phone tree tree,0,0,0,1,0,0,0,0,1,2
book house book car,0,0,2,1,0,0,0,1,0,0
apple car car,1,0,0,2,0,0,0,0,0,0
