word,frequency
before,4
the,315
invention,2
of,220
telescope,2
ancient,15
astronomy,2
relied,2
entirely,5
on,20
observations,2
early,3
astronomers,6
and,151
planets,15
as,20
they,4
across,18
night,3
sky,3
these,16
were,6
crucial,7
for,19
understanding,3
changing,2
it,10
was,11
not,7
developed,2
that,31
humanity,3
could,4
rings,2
saturn,2
moons,3
dense,7
stars,14
milky,2
way,2
galaxy,9
at,8
heart,4
every,4
active,2
star,12
is,21
a,127
nuclear,2
fusion,3
in,52
extreme,6
pressure,8
temperature,6
stellar,4
core,9
hydrogen,4
together,4
to,100
form,4
helium,2
this,9
process,3
releases,2
massive,34
amounts,4
energy,10
photons,2
escape,4
around,3
thousands,9
years,3
finally,4
out,2
into,19
vacuum,6
space,16
light,12
heat,3
when,18
exhausts,2
its,19
fuel,4
causing,3
expand,2
red,3
giant,4
or,4
collapse,8
white,4
planetary,3
geology,2
are,23
inner,3
our,7
solar,14
system,21
rocky,6
with,15
tectonic,3
complex,27
earth,4
magnetic,2
field,2
by,29
which,6
atmosphere,6
from,23
destructive,3
force,4
wind,2
contrast,3
outer,3
gas,8
giants,2
composed,2
violent,6
atmospheric,10
crushing,4
internal,7
planet,6
habitable,2
zone,2
distant,8
where,4
liquid,2
water,8
surface,11
primary,3
modern,9
suggests,2
universe,11
singularity,2
has,5
constant,7
expansion,6
observing,2
galaxies,9
away,4
be,2
us,2
visible,3
matter,6
only,2
tiny,4
fraction,4
vast,10
dark,6
an,6
invisible,2
gravity,12
itself,2
future,3
exploration,4
relies,6
advanced,6
technology,5
satellites,2
orbit,6
provide,4
global,19
communication,2
weather,6
environmental,2
data,9
robotic,6
harsh,7
conditions,3
martian,2
analyze,2
soil,2
search,3
chemical,12
signatures,3
life,7
rocket,2
more,6
toward,3
establishing,2
permanent,3
moon,3
eventually,4
crewed,2
missions,2
interstellar,3
travel,2
beyond,2
technological,3
but,4
theoretical,2
physics,2
continues,2
explore,2
one,4
day,2
probe,3
reach,2
filled,2
billions,6
have,2
them,6
fundamental,7
mass,7
dictates,2
strength,2
turn,2
velocity,5
required,5
maintain,4
stable,2
observe,3
use,3
powerful,8
telescopes,6
capture,3
millions,5
can,12
own,3
sun,6
central,9
elliptical,2
gravitational,8
forces,3
allowed,2
probes,2
gather,2
black,5
holes,2
represent,2
their,19
cycle,2
hole,3
so,2
intense,3
pull,4
releasing,2
detect,2
requires,3
mathematical,10
